id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
37,0,0,1,http://ns10.dxy.cm,ns10.dxy.cm,1,ns10.dxy.cm,76.223.21.9,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='ns10.dxy.cm', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000239F57070A0>: Failed to establish a new connection: [Errno 11002] getaddrinfo failed'))""),)",,,76.223.21.0/24,AS16509,AMAZON-02,美国华盛顿,亚马逊,Altdns
38,0,0,1,https://ns10.dxy.cm,ns10.dxy.cm,1,ns10.dxy.cm,76.223.21.9,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='ns10.dxy.cm', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000239F5705C30>: Failed to establish a new connection: [Errno 11002] getaddrinfo failed'))""),)",,,76.223.21.0/24,AS16509,AMAZON-02,美国华盛顿,亚马逊,Altdns
57,0,0,1,http://ns11.dxy.cm,ns11.dxy.cm,1,ns11.dxy.cm,13.248.158.159,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='ns11.dxy.cm', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000239F55DCEE0>, 'Connection to ns11.dxy.cm timed out. (connect timeout=13)'))""),)",,,13.248.158.0/24,AS16509,AMAZON-02,美国华盛顿,亚马逊,Altdns
60,0,0,1,https://ns11.dxy.cm,ns11.dxy.cm,1,ns11.dxy.cm,13.248.158.159,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='ns11.dxy.cm', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000239F55DF940>, 'Connection to ns11.dxy.cm timed out. (connect timeout=13)'))""),)",,,13.248.158.0/24,AS16509,AMAZON-02,美国华盛顿,亚马逊,Altdns
68,0,0,1,https://ns12.dxy.cm,ns12.dxy.cm,1,ns12.dxy.cm,76.223.21.9,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='ns12.dxy.cm', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000239F5707A60>, 'Connection to ns12.dxy.cm timed out. (connect timeout=13)'))""),)",,,76.223.21.0/24,AS16509,AMAZON-02,美国华盛顿,亚马逊,Altdns
70,0,0,1,http://ns12.dxy.cm,ns12.dxy.cm,1,ns12.dxy.cm,76.223.21.9,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='ns12.dxy.cm', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000239F57072E0>, 'Connection to ns12.dxy.cm timed out. (connect timeout=13)'))""),)",,,76.223.21.0/24,AS16509,AMAZON-02,美国华盛顿,亚马逊,Altdns
65,0,0,1,https://ns18.dxy.cm,ns18.dxy.cm,1,ns18.dxy.cm,76.223.21.9,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='ns18.dxy.cm', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000239F57318A0>, 'Connection to ns18.dxy.cm timed out. (connect timeout=13)'))""),)",,,76.223.21.0/24,AS16509,AMAZON-02,美国华盛顿,亚马逊,Altdns
67,0,0,1,http://ns18.dxy.cm,ns18.dxy.cm,1,ns18.dxy.cm,76.223.21.9,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='ns18.dxy.cm', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000239F5732D10>, 'Connection to ns18.dxy.cm timed out. (connect timeout=13)'))""),)",,,76.223.21.0/24,AS16509,AMAZON-02,美国华盛顿,亚马逊,Altdns
82,0,0,1,http://ns19.dxy.cm,ns19.dxy.cm,1,ns19.dxy.cm,13.248.158.159,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='ns19.dxy.cm', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000239F5847940>, 'Connection to ns19.dxy.cm timed out. (connect timeout=13)'))""),)",,,13.248.158.0/24,AS16509,AMAZON-02,美国华盛顿,亚马逊,Altdns
83,0,0,1,https://ns19.dxy.cm,ns19.dxy.cm,1,ns19.dxy.cm,13.248.158.159,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='ns19.dxy.cm', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000239F5846680>, 'Connection to ns19.dxy.cm timed out. (connect timeout=13)'))""),)",,,13.248.158.0/24,AS16509,AMAZON-02,美国华盛顿,亚马逊,Altdns
