id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
4,1,1,1,http://dxy.com,dxy.com,0,qeygvb5h.e0.sched.ovscdns.com,23.236.99.89,1,1,80,200,OK,丁香医生|专业健康生活方式平台,,23.236.99.0/24,AS21859,ZNET,美国德克萨斯达拉斯,层峰网络,CertInfo
22,1,1,1,https://dxys-mall.dxy.com,dxys-mall.dxy.com,1,"9wx1ymsk.e0.sched.ovscdns.com,9wx1ymsk.e0.sched.ovscdns.com","211.152.148.14,211.152.149.12","1,1",1,443,200,,'   \n\n',nginx,"211.152.148.0/23,211.152.148.0/23","AS132203,AS132203","Tencent Building Kejizhongyi Avenue,Tencent Building Kejizhongyi Avenue","中国上海上海市,中国上海上海市","电信,电信",IP138Query
24,1,1,1,http://dxys-mall.dxy.com,dxys-mall.dxy.com,1,"9wx1ymsk.e0.sched.ovscdns.com,9wx1ymsk.e0.sched.ovscdns.com","211.152.148.14,211.152.149.12","1,1",1,80,200,,'   \n\n',nginx,"211.152.148.0/23,211.152.148.0/23","AS132203,AS132203","Tencent Building Kejizhongyi Avenue,Tencent Building Kejizhongyi Avenue","中国上海上海市,中国上海上海市","电信,电信",IP138Query
6,1,1,1,https://m.dxy.com,m.dxy.com,1,868f1b60ac01763c-cl2.qcloudzygj.com,81.69.64.111,1,1,443,200,OK,丁香医生|专业健康生活方式平台,,81.69.64.0/18,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国上海上海市,电信,IP138Query
7,1,1,1,http://m.dxy.com,m.dxy.com,1,868f1b60ac01763c-cl2.qcloudzygj.com,81.69.64.111,1,1,80,200,OK,丁香医生|专业健康生活方式平台,,81.69.64.0/18,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国上海上海市,电信,IP138Query
5,1,1,1,https://mama.dxy.com,mama.dxy.com,1,m4m10suo.e0.sched.ovscdns.com,23.236.99.89,1,1,443,200,,'   \n\n',nginx,23.236.99.0/24,AS21859,ZNET,美国德克萨斯达拉斯,层峰网络,IP138Query
11,1,1,1,http://mama.dxy.com,mama.dxy.com,1,m4m10suo.e0.sched.ovscdns.com,23.236.99.89,1,1,80,200,,'   \n\n',nginx,23.236.99.0/24,AS21859,ZNET,美国德克萨斯达拉斯,层峰网络,IP138Query
28,1,1,1,https://tools.dxy.com,tools.dxy.com,1,mama.dxy.com,81.69.182.31,1,0,443,200,,'   \n\n',nginx,81.69.128.0/18,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国上海上海市,电信,Brute
31,1,1,1,http://tools.dxy.com,tools.dxy.com,1,mama.dxy.com,81.69.182.31,1,0,80,200,,'   \n\n',nginx,81.69.128.0/18,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国上海上海市,电信,Brute
13,0,1,1,https://waf.dxy.com,waf.dxy.com,1,868f1b60ac01763c-cl2.qcloudzygj.com,81.69.64.111,1,0,443,502,Bad Gateway,WAF Server Error,,81.69.64.0/18,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国上海上海市,电信,RapidDNSQuery
23,0,1,1,http://waf.dxy.com,waf.dxy.com,1,868f1b60ac01763c-cl2.qcloudzygj.com,81.69.64.111,1,0,80,502,Bad Gateway,WAF Server Error,,81.69.64.0/18,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国上海上海市,电信,RapidDNSQuery
2,1,1,1,https://web-push.dxy.com,web-push.dxy.com,1,web-push.dxy.com,1.117.136.144,1,0,443,404,,Whitelabel Error Page,nginx,1.116.0.0/15,AS-,-,中国北京北京市,未知,IP138Query
3,1,1,1,http://web-push.dxy.com,web-push.dxy.com,1,web-push.dxy.com,1.117.136.144,1,0,80,404,,Whitelabel Error Page,nginx,1.116.0.0/15,AS-,-,中国北京北京市,未知,IP138Query
10,1,1,1,https://www.dxy.com,www.dxy.com,1,"qeygvb5h.e0.sched.ovscdns.com,qeygvb5h.e0.sched.ovscdns.com,qeygvb5h.e0.sched.ovscdns.com","101.33.11.32,101.33.11.106,43.152.29.38","1,1,1",1,443,200,OK,丁香医生|专业健康生活方式平台,,"101.33.0.0/16,101.33.0.0/16,43.128.0.0/10","AS131469,AS131469,AS-","Rm.2204 Building 2 Huihuang International Building,Rm.2204 Building 2 Huihuang International Building,-","中国北京北京市,中国北京北京市,澳大利亚","未知,未知,未知",IP138Query
21,1,1,1,http://www.dxy.com,www.dxy.com,1,"qeygvb5h.e0.sched.ovscdns.com,qeygvb5h.e0.sched.ovscdns.com,qeygvb5h.e0.sched.ovscdns.com","101.33.11.32,101.33.11.106,43.152.29.38","1,1,1",1,80,200,OK,丁香医生|专业健康生活方式平台,,"101.33.0.0/16,101.33.0.0/16,43.128.0.0/10","AS131469,AS131469,AS-","Rm.2204 Building 2 Huihuang International Building,Rm.2204 Building 2 Huihuang International Building,-","中国北京北京市,中国北京北京市,澳大利亚","未知,未知,未知",IP138Query
9,1,1,1,https://yao.dxy.com,yao.dxy.com,1,bz1.dxy.cn,117.50.93.63,1,1,443,200,OK,'\n\n\n\n\nredirect in 1 second ...\n\n\n',nginx,117.50.64.0/19,AS4808,China Unicom,中国北京北京市,电信,IP138Query
30,1,1,1,http://yao.dxy.com,yao.dxy.com,1,bz1.dxy.cn,117.50.93.63,1,1,80,200,OK,丁香园用药助手,"nginx,Next.js",117.50.64.0/19,AS4808,China Unicom,中国北京北京市,电信,IP138Query
